,Open,High,Low,Close,Volume,vader_sentiment
2023-04-06,183.08,186.39,179.74,185.06,123857932,0.5423
2023-04-05,190.515,190.68,183.76,185.52,133882493,0.7241
2023-04-04,197.32,198.7446,190.32,192.58,126463845,0.3229
2023-04-03,199.91,202.6897,192.2,194.77,169545900,0.6337
2023-03-31,197.53,207.79,197.2,207.46,170222118,0.3829
2023-03-30,195.58,197.33,194.42,195.28,110252238,0.5679
2023-03-29,193.13,195.29,189.44,193.88,123660026,0.225
2023-03-28,192.0,192.35,185.43,189.19,98654635,0.4947
2023-03-27,194.415,197.39,189.94,191.81,120851587,0.6517
2023-03-24,191.65,192.36,187.15,190.41,116531584,0.5586
2023-03-23,195.26,199.31,188.65,192.22,144193876,0.7055
2023-03-22,199.3,200.66,190.95,191.15,150376373,0.6629
2023-03-21,188.28,198.0,188.04,197.58,153391444,0.6759
2023-03-20,178.08,186.44,176.35,183.25,129684359,0.7764
2023-03-17,184.515,186.2199,177.33,180.13,133197140,0.8966
2023-03-16,180.365,185.81,178.84,184.13,121374453,0.5462
2023-03-15,180.8,182.34,176.03,180.45,145995583,0.7644
2023-03-14,177.31,183.8,177.1401,183.26,143717897,0.2743
2023-03-13,167.455,177.35,163.91,174.48,167790256,0.0781
2023-03-10,175.13,178.29,168.44,173.44,191488872,0.0989
2023-03-09,180.25,185.18,172.5124,172.92,170023794,0.8162
2023-03-08,185.04,186.5,180.0,182.0,151897763,0.2688
2023-03-07,191.38,194.2,186.1,187.71,148125790,0.5052
2023-03-06,198.54,198.6,192.3,193.81,128100106,0.7555
2023-03-03,194.795,200.48,192.88,197.79,154193277,0.6471
2023-03-02,186.74,193.7499,186.01,190.9,181979154,0.4735
2023-03-01,206.21,207.2,198.52,202.77,156852790,0.3785
2023-02-28,210.59,211.23,203.75,205.71,153144912,0.5298
2023-02-27,202.03,209.42,201.26,207.63,161028315,0.9928
